matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,frame_rot,0.0001,0.0032122241973876957,3.097102081768968e-09,0.0003001537831349177
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,frame_rot,0.0003,0.009636672592163085,1.604099219377758e-08,0.00017273367759357454
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,frame_rot,0.001,0.032122241973876954,1.9740421986264761e-07,0.00019131311088308744
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,frame_rot,0.003,0.09636672592163086,1.791702806115059e-06,0.00019293533162807337
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,frame_rot,0.01,0.3212224197387695,1.9972599116200977e-05,0.00019356324155582133
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,frame_rot,0.03,0.9636672592163086,0.00018109402800692572,0.00019500687407605753
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,gauss,0.0001,0.0032122241973876957,7.555332032768532e-10,7.322204540254056e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,gauss,0.0003,0.009636672592163085,7.850058039835926e-09,8.453151639023036e-05
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,gauss,0.001,0.032122241973876954,1.098640340157994e-07,0.00010647406694929009
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,gauss,0.003,0.09636672592163086,1.0022117564870454e-06,0.00010792083203723282
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,gauss,0.01,0.3212224197387695,1.1175345350105017e-05,0.00010830518646506313
model.layers.15.self_attn.q_proj.weight,self_attn,4096,1024,32.12224197387695,gauss,0.03,0.9636672592163086,0.00010110478122242062,0.00010887232206008418
