matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.19.self_attn.v_proj.weight,self_attn,512,1024,14.40697193145752,gauss,0.03,0.43220915794372555,0.0002743836096441268,0.0014688256081394962
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_rand,0.001,0.024210872650146487,0.00017338450474548942,0.2957940240340573
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_rand,0.003,0.07263261795043946,0.00017850174411457613,0.03383600401524581
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_rand,0.01,0.24210872650146484,0.00019672224171378235,0.003356082112351159
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_rand,0.03,0.7263261795043945,0.0003510892814789173,0.0006655093706090214
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_scale,0.001,0.024210872650146487,8.149137473236241e-06,0.013902431299461237
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_scale,0.003,0.07263261795043946,0.00017989829583821594,0.03410072820582987
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_scale,0.01,0.24210872650146484,0.00018923886721822837,0.003228415718018921
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,spec_scale,0.03,0.7263261795043945,0.0002693017560079628,0.0005104765414364431
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,frame_rot,0.001,0.024210872650146487,0.00017248153498249146,0.29425355731143804
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,frame_rot,0.003,0.07263261795043946,0.00017200043790515645,0.03260364505932957
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,frame_rot,0.01,0.24210872650146484,0.00019671766103266438,0.0033560039659157152
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,frame_rot,0.03,0.7263261795043945,0.00025716572274218013,0.00048747201157332864
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,gauss,0.001,0.024210872650146487,0.00017273344522522586,0.2946833162711743
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,gauss,0.003,0.07263261795043946,0.00017913353953526742,0.03395576437107518
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,gauss,0.01,0.24210872650146484,0.00021520520495570518,0.0036714015280871347
model.layers.19.self_attn.o_proj.weight,self_attn,1024,2048,24.210872650146484,gauss,0.03,0.7263261795043945,0.00037254392577875924,0.0007061778489074273
