matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.5.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005861960305532766,-0.0005320857134558654,0.5057602868779256,0.5048155446044498,0.0018679645238810494
model.layers.5.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005862932742392742,-0.000698063343638422,0.5057602868779256,0.504540387319871,0.002412011361321076
model.layers.5.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005857084171202638,0.0003001834588441943,0.5057602868779256,0.5057330216481126,5.390939249361182e-05
model.layers.5.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005858531849297714,5.309062497749206e-05,0.5057602868779256,0.5057060787302032,0.00010718150303379304
model.layers.5.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005829349005544308,0.005034081625562514,0.5057602868779256,0.5040244581800971,0.00343211743362426
model.layers.5.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005847442344159052,0.001945871389023801,0.5057602868779256,0.4993873692045154,0.012600668416949956
model.layers.5.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.0058319803673869824,0.004584955085037645,0.5057602868779256,0.4984959558579803,0.01436318985183338
model.layers.6.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005860073368342508,-0.00021001918550678234,0.5057602868779256,0.5028007863070325,0.005851587496444655
model.layers.6.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005843696583387768,0.0025852059531865645,0.5057602868779256,0.5047913056636021,0.0019158902734437433
model.layers.6.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005861333613097036,-0.00042512049070775326,0.5057602868779256,0.5050173215747142,0.0014690068051759209
model.layers.6.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.00585977413213547,-0.00015894490135193173,0.5057602868779256,0.5057578333998959,4.8510689617531355e-06
model.layers.6.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005858851142963126,-1.4071096297030294e-06,0.5057602868779256,0.505735078414911,4.984270941910118e-05
model.layers.6.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005830027596904475,0.004918258181945134,0.5057602868779256,0.5034089887414765,0.004649036702671361
model.layers.6.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005842524330190148,0.00278528866880845,0.5057602868779256,0.5008096900042952,0.009788425469683726
model.layers.6.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005836140816447411,0.0038748406252031575,0.5057602868779256,0.4979677790439762,0.0154075122862114
model.layers.7.self_attn.q_proj.weight,4096,1024,0.005858842898928863,0.005843714133343028,0.0025822104887981423,0.5057602868779256,0.5050055385332874,0.0014923044853862866
model.layers.7.self_attn.k_proj.weight,512,1024,0.005858842898928863,0.005855286724753825,0.0006069755131492549,0.5057602868779256,0.5054815055813838,0.0005512123109996381
model.layers.7.self_attn.v_proj.weight,512,1024,0.005858842898928863,0.005855358898897122,0.0005946566739958303,0.5057602868779256,0.5042514389941518,0.002983326138728648
model.layers.7.self_attn.o_proj.weight,1024,2048,0.005858842898928863,0.00584215186782436,0.0028488613523933726,0.5057602868779256,0.5028165576828755,0.0058204039965690235
model.layers.7.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005845551946755328,0.0022685285137045152,0.5057602868779256,0.5027637948606701,0.005924727771239091
model.layers.7.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005834248007752671,0.004197909314258674,0.5057602868779256,0.5007550034706385,0.009896552847565188
model.layers.7.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.0058494672263325435,0.001600260112459062,0.5057602868779256,0.49964844075846987,0.01208447218579456
model.layers.8.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005837651915490783,0.003616922966470759,0.5057602868779256,0.5040722107157795,0.0033377001040685306
model.layers.8.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005819734156846688,0.006675164833200187,0.5057602868779256,0.5056318222345804,0.0002540030260942405
model.layers.8.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005862088139295797,-0.000553904657099924,0.5057602868779256,0.5049391601462635,0.0016235492445066946
model.layers.8.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005857032535644012,0.00030899672786621757,0.5057602868779256,0.5056639648465749,0.00019044996977779505
model.layers.8.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.0058586704221603066,2.9438708552542714e-05,0.5057602868779256,0.505764844759232,-9.011939894554288e-06
model.layers.8.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005846011546219832,0.0021900830813157413,0.5057602868779256,0.5043513002729546,0.0027858782935860082
model.layers.8.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005850859764234756,0.0013625787261792865,0.5057602868779256,0.5020742916984962,0.007288028093671128
model.layers.8.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.00584323172127947,0.002664549625020163,0.5057602868779256,0.5004665580402338,0.01046687328965712
model.layers.9.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005846138477879285,0.002168418110665038,0.5057602868779256,0.5034255990118458,0.004616194522689687
model.layers.9.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005850844827931798,0.0013651280867298388,0.5057602868779256,0.5048442845439328,0.0018111393040511903
model.layers.9.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005864294122448091,-0.0009304266411076512,0.5057602868779256,0.504995625615662,0.0015119045170269851
